SNAPSHOT_FISCAL_YEAR,SNAPSHOT_FISCAL_YEAR_PERIOD_x,customer,customer_TEXT,customer_INDUSTRY_DESC,customer_OFFICE_DESC,customer_REGION_DESC,customer_SECTOR_DESC,customer_SIC_TEXT,customer_SUB_SECTOR_DESC,OPPORTUNITY_OPEN_CLOSED_INDICATOR,PHASE_NAME,PURSUIT_START_DATE,PROJECT_START_DATE,PROJECT_END_DATE,PERIOD_WON_LOSS_ABANDONED,DATE_WON_LOSS_ABANDONED,PRIORITY,Product_Category4_id,Product_Category2_text,Product_Category3_text,PURSUIT_LEADER,BUYER_ROLE_DESC,CURRENCY,PROBABILITY_PRC,WEIGHTED_Sales,Total_Sales,STRATEGIC_OPPORTUNITY,SNAPSHOT_FY,SNAPSHOT_FP,SNAPSHOT_FISCAL_YEAR_PERIOD_y,OPPORTUNITY_ID,Year
2019,2019013,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019013,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019013,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020006,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020006,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020006,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020001,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020001,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2020,2020001,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,1629.0,category18,sub category116,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019012,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,3000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
2019,2019012,24001350.0,customer378,industry2,WASHINGTON DC,US - East,Sector10,SIC26,Sub Sector1,CLOSED,Won,2018-05-14,2019-01-09,2021-05-31,Period 08 2019,2019-01-07,High,2013.0,category51,sub category8,10171.0,CIO/VP MIS,USD,100,0.0,4000000,POSITIONING WITH A KEY CLIENT,2019,8,2019008,MO-2480833,2018
